#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
9026,30-06-2023,Guanajuato,Comonfort,Grupo I. Cruces a Nivel,Impacto a Tren
9027,19-07-2023,Ciudad de México,Cuauhtemoc,"GRUPO II. Equipo ferroviario, infraestructura y operación",Daño a Instalaciones
9028,03-07-2023,Veracruz de Ignacio de la Llave,Veracruz ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9029,05-07-2023,Tlaxcala,Huamantla ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9030,06-07-2023,Veracruz de Ignacio de la Llave,Veracruz ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9031,07-07-2023,Veracruz de Ignacio de la Llave,Tierra Blanca ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9032,14-07-2023,Tlaxcala,Huamantla ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9033,15-07-2023,Veracruz de Ignacio de la Llave,Ixtaczoquitlán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9034,16-07-2023,Tlaxcala,Teolocholco ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9035,16-07-2023,Tlaxcala,Papalotla De Xicohténcatl ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9036,18-07-2023,Veracruz de Ignacio de la Llave,Oteapan ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9037,20-07-2023,Puebla,Acajete ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9038,20-07-2023,Veracruz de Ignacio de la Llave,Camerino Z. Mendoza ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9039,24-07-2023,Puebla,Tehuacán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9040,31-07-2023,Puebla,Tehuacán ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9041,01-07-2023,México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9042,02-07-2023,México,Coyotepec,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9043,03-07-2023,México,Tultitlan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9044,05-07-2023,Ciudad de México,Gustavo A. Madero,"Grupo III. Muerte, lesión y otros",Accidente Personal Ferroviario
9045,08-07-2023,México,Teoloyucan ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9046,10-07-2023,México,Cuautitlán Izcalli,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9047,16-07-2023,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9048,17-07-2023,México,Tlalnepantla De Baz ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9049,20-07-2023,México,Ecatepec,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9050,24-07-2023,México,Ecatepec,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9051,25-07-2023,México,Huehuetoca,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9052,28-07-2023,México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
9053,01-07-2023,Sonora,Caborca ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9054,01-07-2023,Coahuila de Zaragoza,Juárez ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9055,01-07-2023,Guanajuato,Cortázar ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9056,02-07-2023,Baja California,Mexicali ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9057,02-07-2023,Jalisco,Guadalajara ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9058,02-07-2023,Sonora,El Fuerte ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9059,03-07-2023,Tamaulipas,Altamira ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9060,03-07-2023,Sinaloa,Culiacán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9061,03-07-2023,Baja California,Mexicali ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9062,03-07-2023,Chihuahua,Chihuahua ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9063,03-07-2023,Durango,Mapimí ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9064,03-07-2023,Querétaro,El Marqués,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9065,04-07-2023,Sinaloa,El Fuerte ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
9066,05-07-2023,Tamaulipas,Altamira ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9067,06-07-2023,Aguascalientes,Aguascalientes ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9068,06-07-2023,Jalisco,Tlajomulco De Zúñiga ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9069,07-07-2023,Guanajuato,León ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9070,07-07-2023,Michoacán de Ocampo,Yurécuaro ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9071,08-07-2023,Jalisco,Lagos De Moreno ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9072,08-07-2023,Tamaulipas,Cd. Victoria,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9073,09-07-2023,Chihuahua,Camargo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9074,09-07-2023,Nuevo León,Hidalgo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9075,10-07-2023,Jalisco,Tlajomulco De Zúñiga ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9076,10-07-2023,Sonora,Puerto Peñasco ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9077,11-07-2023,Guanajuato,Celaya ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9078,11-07-2023,Sinaloa,Rosario ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
9079,12-07-2023,Sonora,Navojoa ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
