#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
1,01-10-2016,Veracruz de Ignacio de la Llave,Medellín De Bravo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
2,01-10-2016,Ciudad de México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
3,01-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
4,01-10-2016,Veracruz de Ignacio de la Llave,Xalapa,"GRUPO II. Equipo ferroviario, infraestructura y operación",Inundación
5,02-10-2016,San Luis Potosí,Charcas,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
6,02-10-2016,Tamaulipas,Ciudad Madero,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
7,02-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
8,03-10-2016,Tabasco,Huimanguillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9,03-10-2016,Ciudad de México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
10,03-10-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
11,03-10-2016,Guanajuato,Irapuato,"Grupo III. Muerte, lesión y otros",Persona Arrollada
12,03-10-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
13,03-10-2016,Chiapas,Palenque,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
14,04-10-2016,Veracruz de Ignacio de la Llave,Veracruz,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
15,04-10-2016,Puebla,Puebla,"Grupo III. Muerte, lesión y otros",Persona Arrollada
16,04-10-2016,Jalisco,Lagos De Moreno,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
17,04-10-2016,Veracruz de Ignacio de la Llave,Cosoleacaque ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
18,04-10-2016,Tamaulipas,Matamoros,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
19,04-10-2016,Michoacán de Ocampo,Pátzcuaro,Grupo I. Cruces a Nivel,Impacto a Tren
20,04-10-2016,Nuevo León,García,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
21,05-10-2016,Veracruz de Ignacio de la Llave,Tlalixcoyan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
22,05-10-2016,Tamaulipas,Ciudad Madero,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
23,05-10-2016,Chihuahua,Chihuahua,"Grupo III. Muerte, lesión y otros",Persona Arrollada
24,05-10-2016,Querétaro,Querétaro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
25,05-10-2016,Tamaulipas,Nuevo Laredo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
26,06-10-2016,Coahuila de Zaragoza,Viesca,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
27,06-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
28,06-10-2016,Coahuila de Zaragoza,Saltillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
29,07-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
30,07-10-2016,Hidalgo,Emiliano Zapata,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
31,07-10-2016,Hidalgo,Tecozautla,"Grupo III. Muerte, lesión y otros",Accidente Personal Ferroviario
32,08-10-2016,Hidalgo,Huichapan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
33,08-10-2016,Veracruz de Ignacio de la Llave,Las Vigas De Ramírez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
34,09-10-2016,Chihuahua,Bocoyna,"Grupo III. Muerte, lesión y otros",Persona Arrollada
35,09-10-2016,Nuevo León,Linares,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
36,09-10-2016,Guanajuato,San Miguel De Allende,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
37,09-10-2016,Michoacán de Ocampo,Salvador Escalante,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
38,10-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
39,10-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
40,10-10-2016,Guanajuato,Irapuato,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
41,10-10-2016,Coahuila de Zaragoza,San Pedro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
42,10-10-2016,Chiapas,La Libertad,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
43,10-10-2016,Tabasco,Tenosique,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
44,10-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
45,11-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
46,11-10-2016,Coahuila de Zaragoza,San Pedro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
47,11-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
48,11-10-2016,Michoacán de Ocampo,Múgica,"Grupo III. Muerte, lesión y otros",Persona Arrollada
49,12-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
50,12-10-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
51,12-10-2016,Nuevo León,Lampazos De Naranjo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Incendio
52,12-10-2016,San Luis Potosí,Vanegas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
53,13-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
54,13-10-2016,Chiapas,Tapachula,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
55,13-10-2016,Chiapas,Palenque,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
56,13-10-2016,Tabasco,Balancán,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
57,13-10-2016,Michoacán de Ocampo,Lázaro Cárdenas,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
58,13-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Equipo en Mal Estado
59,13-10-2016,Veracruz de Ignacio de la Llave,Pánuco,Grupo IV. Materiales o Residuos peligrosos,Fuga/Derrame
60,14-10-2016,Tabasco,Huimanguillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
61,14-10-2016,San Luis Potosí,Vanegas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
62,14-10-2016,San Luis Potosí,San Luis Potosí,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
63,14-10-2016,Coahuila de Zaragoza,Ramos Arizpe,"GRUPO II. Equipo ferroviario, infraestructura y operación",Equipo en Mal Estado
64,15-10-2016,Querétaro,San Juan Del Río,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
65,15-10-2016,Nuevo León,Guadalupe,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
66,16-10-2016,Sonora,Hermosillo,"Grupo III. Muerte, lesión y otros",Persona Arrollada
67,16-10-2016,Baja California,Mexicali,"Grupo III. Muerte, lesión y otros",Persona Arrollada
68,17-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
69,17-10-2016,México,Tlalnepantla De Baz,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
70,17-10-2016,Hidalgo,Huichapan,"Grupo III. Muerte, lesión y otros",Persona Arrollada
71,17-10-2016,Tabasco,Tenosique,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
72,17-10-2016,Tamaulipas,Reynosa,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
73,18-10-2016,San Luis Potosí,Tamasopo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
74,19-10-2016,Veracruz de Ignacio de la Llave,Veracruz,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
75,19-10-2016,Chihuahua,Camargo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
76,19-10-2016,Chiapas,Palenque,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
77,04-11-2016,Guanajuato,Celaya,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
78,20-10-2016,Michoacán de Ocampo,Maravatío,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
79,20-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
80,20-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
81,20-10-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
82,20-10-2016,Coahuila de Zaragoza,Saltillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
83,21-10-2016,México,Tultitlán,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
84,21-10-2016,Puebla,Puebla,"Grupo III. Muerte, lesión y otros",Persona Arrollada
85,21-10-2016,Sonora,El Fuerte,"Grupo III. Muerte, lesión y otros",Persona Arrollada
86,21-10-2016,Nuevo León,San Nicolás De Los Garza,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
87,21-10-2016,Tamaulipas,Nuevo Laredo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
88,21-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
89,21-10-2016,San Luis Potosí,Rayón,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
90,22-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
91,22-10-2016,México,Ecatepec De Morelos,Grupo I. Cruces a Nivel,Impacto a Tren
92,22-10-2016,Querétaro,El Marqués,"Grupo III. Muerte, lesión y otros",Persona Arrollada
93,22-10-2016,Tamaulipas,Tampico,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
94,23-10-2016,Guanajuato,Silao De La Victoria,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
95,23-10-2016,Veracruz de Ignacio de la Llave,Pánuco,Grupo IV. Materiales o Residuos peligrosos,Fuga/Derrame
96,24-10-2016,Yucatán,Mérida,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
97,24-10-2016,Guanajuato,León,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
98,24-10-2016,Sonora,Puerto Peñasco,"Grupo III. Muerte, lesión y otros",Persona Arrollada
99,24-10-2016,San Luis Potosí,San Luis Potosí,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
100,24-10-2016,Michoacán de Ocampo,Pátzcuaro,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
101,24-10-2016,Michoacán de Ocampo,Maravatío,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
102,24-10-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
103,25-10-2016,Chihuahua,Guerrero,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
104,25-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
105,25-10-2016,Michoacán de Ocampo,Lagunillas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
106,25-10-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
107,26-10-2016,Veracruz de Ignacio de la Llave,Fortín,"Grupo III. Muerte, lesión y otros",Persona Arrollada
108,26-10-2016,Sonora,Empalme,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
109,26-10-2016,Tlaxcala,Huamantla,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
110,26-10-2016,México,Teoloyucan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
111,26-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
112,26-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
113,26-10-2016,Querétaro,San Juan Del Río,"Grupo III. Muerte, lesión y otros",Persona Arrollada
114,27-10-2016,Guanajuato,León,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
115,27-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
116,27-10-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
117,28-10-2016,Tamaulipas,Casas,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
118,28-10-2016,Coahuila de Zaragoza,Nava,"Grupo III. Muerte, lesión y otros",Persona Arrollada
119,28-10-2016,Tamaulipas,Matamoros,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
120,28-10-2016,México,Polotitlán,Grupo IV. Materiales o Residuos peligrosos,Fuga/Derrame
121,29-10-2016,México,Tultitlán,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
122,29-10-2016,Jalisco,Poncitlán,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
123,29-10-2016,Guanajuato,Pénjamo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
124,29-10-2016,Guanajuato,Irapuato,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
125,29-10-2016,Tamaulipas,Nuevo Laredo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
126,29-10-2016,San Luis Potosí,Vanegas,"Grupo III. Muerte, lesión y otros",Persona Arrollada
127,30-10-2016,Yucatán,Chocholá,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
128,30-10-2016,Jalisco,San Pedro Tlaquepaque,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
129,31-10-2016,Guanajuato,Villagrán,"Grupo III. Muerte, lesión y otros",Persona Arrollada
130,31-10-2016,Coahuila de Zaragoza,Francisco I. Madero,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
131,31-10-2016,Guanajuato,Irapuato,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
132,31-10-2016,Tlaxcala,Muñoz De Domingo Arenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
133,31-10-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
134,31-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
135,01-11-2016,Chiapas,Tapachula,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
136,01-11-2016,Chihuahua,Juárez,"Grupo III. Muerte, lesión y otros",Accidente Personal Ferroviario
137,01-11-2016,Chihuahua,Santa Isabel,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
138,01-11-2016,Coahuila de Zaragoza,Monclova,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
139,01-11-2016,Sonora,Guasave,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
140,01-11-2016,Hidalgo,Huichapan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
141,01-11-2016,Puebla,Nopalucan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
142,01-11-2016,Nuevo León,Salinas Victoria,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
143,03-11-2016,México,Ecatepec De Morelos,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
144,03-11-2016,Sonora,Culiacán,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
145,03-11-2016,Tamaulipas,Tampico,"GRUPO II. Equipo ferroviario, infraestructura y operación",Deslave/ derrumbe
146,03-11-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
147,03-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
148,03-11-2016,Tamaulipas,Ciudad Madero,"GRUPO II. Equipo ferroviario, infraestructura y operación",Inundación
149,03-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
150,24-11-2016,Guanajuato,Celaya,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
151,04-11-2016,Chihuahua,Delicias,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
152,04-11-2016,Chihuahua,Cuauhtémoc,"Grupo III. Muerte, lesión y otros",Persona Arrollada
153,04-11-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Inundación
154,04-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
155,05-11-2016,Chiapas,Palenque,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
156,05-11-2016,Jalisco,El Arenal,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
157,05-11-2016,San Luis Potosí,Tamasopo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Deslave/ derrumbe
158,05-11-2016,México,Toluca,Grupo IV. Materiales o Residuos peligrosos,Fuga/Derrame
159,06-11-2016,Tabasco,Huimanguillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
160,06-11-2016,Zacatecas,Zacatecas,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
161,06-11-2016,Coahuila de Zaragoza,Saltillo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
162,06-11-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
163,06-11-2016,Guanajuato,Acámbaro,"GRUPO II. Equipo ferroviario, infraestructura y operación",Equipo en Mal Estado
164,06-11-2016,San Luis Potosí,Villa De Reyes,"Grupo III. Muerte, lesión y otros",Persona Arrollada
165,07-11-2016,Jalisco,Guadalajara,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
166,07-11-2016,Nuevo León,García,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
167,07-11-2016,Tamaulipas,Matamoros,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
168,07-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
169,08-11-2016,Durango,Lerdo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
170,08-11-2016,Tamaulipas,Altamira,"Grupo III. Muerte, lesión y otros",Persona Arrollada
171,08-11-2016,Nuevo León,Santa Catarina,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
172,08-11-2016,Nuevo León,General Escobedo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
173,08-11-2016,San Luis Potosí,Rayón,"GRUPO II. Equipo ferroviario, infraestructura y operación",Deslave/ derrumbe
174,08-11-2016,Querétaro,El Marqués,"GRUPO II. Equipo ferroviario, infraestructura y operación",Equipo en Mal Estado
175,08-11-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
176,08-11-2016,Michoacán de Ocampo,Múgica,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
177,09-11-2016,Sinaloa,Culiacán,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
178,09-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
179,09-11-2016,Michoacán de Ocampo,Múgica,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
180,09-11-2016,San Luis Potosí,San Luis Potosí,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
181,10-11-2016,Ciudad de México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
182,10-11-2016,México,Ecatepec De Morelos,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
183,10-11-2016,Sonora,Guaymas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
184,10-11-2016,Coahuila de Zaragoza,Saltillo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
185,10-11-2016,Nuevo León,Santa Catarina,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
186,10-11-2016,Michoacán de Ocampo,Arteaga,"GRUPO II. Equipo ferroviario, infraestructura y operación",Deslave/ derrumbe
187,10-11-2016,Coahuila de Zaragoza,Saltillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
188,10-11-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
189,10-11-2016,Nuevo León,San Nicolás De Los Garza,"GRUPO II. Equipo ferroviario, infraestructura y operación",Equipo en Mal Estado
190,10-11-2016,Nuevo León,San Nicolás De Los Garza,Grupo I. Cruces a Nivel,Impacto a Tren
191,10-11-2016,Michoacán de Ocampo,Múgica,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
192,10-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
193,11-11-2016,Campeche,Champotón,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
194,11-11-2016,Yucatán,Tunkás,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
195,11-11-2016,Nuevo León,García,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
196,11-11-2016,Nuevo León,General Escobedo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
197,11-11-2016,San Luis Potosí,Villa De Reyes,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
198,11-11-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
199,11-11-2016,Nuevo León,San Nicolás De Los Garza,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
200,11-11-2016,Tamaulipas,Matamoros,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
201,11-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
202,11-11-2016,Michoacán de Ocampo,Múgica,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
203,12-11-2016,Sonora,Cajeme,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
204,12-11-2016,Puebla,Rafael Lara Grajales,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
205,12-11-2016,Veracruz de Ignacio de la Llave,Cosamaloapan De Carpio,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
206,12-11-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
207,13-11-2016,Coahuila de Zaragoza,Sabinas,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
208,13-11-2016,Hidalgo,Huichapan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
209,13-11-2016,Tamaulipas,Río Bravo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
210,14-11-2016,Coahuila de Zaragoza,Torreón,"Grupo III. Muerte, lesión y otros",Persona Arrollada
211,14-11-2016,Ciudad de México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
212,14-11-2016,Aguascalientes,Cosío,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
213,14-11-2016,Chihuahua,Chihuahua,"Grupo III. Muerte, lesión y otros",Persona Arrollada
214,14-11-2016,Tabasco,Tenosique,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
215,14-11-2016,Nuevo León,García,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
216,14-11-2016,Tamaulipas,Nuevo Laredo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
217,15-11-2016,Chihuahua,Ahumada,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
218,15-11-2016,Jalisco,Lagos De Moreno,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
219,15-11-2016,Sonora,El Fuerte,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
220,15-11-2016,Nuevo León,General Escobedo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
221,15-11-2016,Guanajuato,Celaya,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
222,15-11-2016,Nuevo León,San Nicolás De Los Garza,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
223,15-11-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
224,15-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
225,15-11-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
226,15-11-2016,Querétaro,San Juan Del Río,"Grupo III. Muerte, lesión y otros",Persona Arrollada
227,16-11-2016,Tabasco,Huimanguillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
228,16-11-2016,Hidalgo,Emiliano Zapata,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
229,16-11-2016,San Luis Potosí,Tamasopo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
230,16-11-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
231,16-11-2016,Michoacán de Ocampo,Pátzcuaro,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
232,16-11-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
233,16-11-2016,Michoacán de Ocampo,Maravatío,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
234,16-11-2016,Michoacán de Ocampo,Lázaro Cárdenas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
235,17-11-2016,Durango,Gómez Palacio,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
236,17-11-2016,Nuevo León,Monterrey,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
237,17-11-2016,Guanajuato,Celaya,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
238,17-11-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
